Player,Age,Pos,Tm,G,GS,MP,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,PTS_per_game,PTS_per_min,ASTTOVR,Salary
Marvin Bagley,19,PF,SAC,62,4,1567,356,706,0.5042492917847026,30,96,0.3125,326,610,0.5344262295081967,181,262,0.6908396946564885,162,309,471,62,33,59,98,120,923,0.37110481586402266,14.887096774193548,0.5890236119974473,0.6326530612244898,7314960
Marvin Williams,32,PF,CHO,75,75,2133,275,652,0.4217791411042945,140,382,0.36649214659685864,135,270,0.5,66,86,0.7674418604651163,76,331,407,92,71,61,47,156,756,0.13190184049079753,10.08,0.35443037974683544,1.9574468085106382,14087500
Mason Plumlee,28,C,DEN,82,17,1731,262,442,0.5927601809954751,2,10,0.2,260,432,0.6018518518518519,111,198,0.5606060606060606,165,359,524,243,66,76,126,252,637,0.4479638009049774,7.7682926829268295,0.36799537839399193,1.9285714285714286,12917808
Matthew Dellavedova,28,"PG, PG","MIL, CLE",48,0,812,98,242,0.4049586776859504,44,130,0.3384615384615385,54,112,0.48214285714285715,42,52,0.8076923076923077,6,71,77,181,14,2,68,75,282,0.21487603305785125,5.875,0.3472906403940887,2.661764705882353,9607500
Maxi Kleber,27,PF,DAL,71,18,1502,175,386,0.4533678756476684,77,218,0.3532110091743119,98,168,0.5833333333333334,58,74,0.7837837837837838,90,239,329,70,36,78,54,143,485,0.19170984455958548,6.830985915492958,0.3229027962716378,1.2962962962962963,1378242
Melvin Frazier,22,SG,ORL,10,0,44,7,21,0.3333333333333333,0,6,0,7,15,0.4666666666666667,1,4,0.25,3,2,5,1,1,0,1,6,15,0.19047619047619047,1.5,0.3409090909090909,1,1050000
Meyers Leonard,26,C,POR,61,2,878,132,242,0.5454545454545454,50,111,0.45045045045045046,82,131,0.6259541984732825,43,51,0.8431372549019608,49,184,233,75,13,9,43,105,357,0.21074380165289255,5.852459016393443,0.40660592255125283,1.744186046511628,10595506
Michael Beasley,30,PF,LAL,26,2,277,75,153,0.49019607843137253,3,17,0.17647058823529413,72,136,0.5294117647058824,28,39,0.717948717948718,13,47,60,25,9,10,27,42,181,0.2549019607843137,6.961538461538462,0.6534296028880866,0.9259259259259259,3500000
Michael Carter-Williams,27,"PG, PG","ORL, HOU",28,1,372,46,123,0.37398373983739835,10,38,0.2631578947368421,36,85,0.4235294117647059,32,53,0.6037735849056604,19,51,70,70,20,15,20,48,134,0.43089430894308944,4.785714285714286,0.3602150537634409,3.5,1468082
Michael Kidd-Gilchrist,25,PF,CHO,64,3,1179,158,332,0.4759036144578313,16,47,0.3404255319148936,142,285,0.4982456140350877,95,123,0.7723577235772358,88,158,246,61,32,39,43,156,427,0.3704819277108434,6.671875,0.3621713316369805,1.4186046511627908,13000000
Mikal Bridges,22,SF,PHO,82,56,2417,242,563,0.42984014209591476,105,313,0.3354632587859425,137,250,0.548,95,118,0.8050847457627118,56,208,264,173,129,38,70,201,684,0.20959147424511546,8.341463414634147,0.2829954489035995,2.4714285714285715,3557400
Mike Conley,31,PG,MEM,70,70,2342,490,1120,0.4375,155,426,0.36384976525821594,335,694,0.4827089337175792,343,406,0.8448275862068966,40,199,239,449,94,22,130,123,1478,0.3625,21.114285714285714,0.6310845431255337,3.453846153846154,30521115
Mike Muscala,27,"PF, PF","LAL, PHI",64,10,1306,145,361,0.40166204986149584,89,256,0.34765625,56,105,0.5333333333333333,70,85,0.8235294117647058,57,187,244,76,22,38,48,130,449,0.23545706371191136,7.015625,0.3437978560490046,1.5833333333333333,5000000
Mike Scott,30,"PF, PF","PHI, LAC",79,3,1395,168,420,0.4,101,252,0.4007936507936508,67,168,0.39880952380952384,22,33,0.6666666666666666,43,233,276,66,26,13,44,156,459,0.07857142857142857,5.810126582278481,0.32903225806451614,1.5,4320500
Miles Bridges,20,SF,CHO,80,25,1696,237,511,0.4637964774951076,65,200,0.325,172,311,0.5530546623794212,58,77,0.7532467532467533,67,256,323,95,55,49,50,111,597,0.1506849315068493,7.4625,0.35200471698113206,1.9,3206640
Milos Teodosic,31,PG,LAC,15,0,150,17,40,0.425,10,27,0.37037037037037035,7,13,0.5384615384615384,4,7,0.5714285714285714,3,13,16,32,3,1,21,27,48,0.175,3.2,0.32,1.5238095238095237,6300000
Mitch Creek,26,"SF, SF","MIN, BRK",5,0,48,8,16,0.5,0,2,0,8,14,0.5714285714285714,5,7,0.7142857142857143,6,6,12,6,2,0,1,3,21,0.4375,4.2,0.4375,6,56845
